Species name,Body Mass (g),Brain Mass (g)
Accipiter brevipes,190,3.3
Accipiter gentilis,926,7.556
Accipiter nisus,220,2.89
Acrocephalus arundinaceus,21.9,0.94
Acrocephalus palustris,12,0.52
Acrocephalus schoenobaenus,11.9,0.44
Acrocephalus scirpaceus,11.8,0.58
Acrocephalus stentoreus,26.9,0.87
Aegithalos caudatus,8.1,0.424
Aegypius monachus,9625,27.3
Alauda arvensis,36.4,0.896
Alca torda,717,4.853
Alcedo atthis,42.35,0.8
Alectoris barbara,500,2.8
Alectoris chukar,518.5,2.59
Alectoris graeca,637.5,2.1
Alectoris rufa,477.5,1.953
Alle alle,152.5,1.962
Amandava amandava,9.9,0.39
Anas acuta,945.5,4.727
Anas clypeata,613,3.3
Anas crecca,315,2.638
Anas penelope,771.5,3.998
Anas platyrhynchos,565.5,4.998
Anas querquedula,326,2.8
Anas strepera,919.5,4.55
Anser albifrons,2680.5,9.105
Anser anser,3464.5,11.082
Anseer erythropus,1797.5,6.7
Anser fabalis,3020.5,11.485
Anthus berthelotii,16.5,0.52
Anthus campestris,22.9,0.52
Anthus prantensis,19.25,0.483
Anthus spinoletta,20.7,0.58
Anthus trivialis,23.4,0.624
Apus apus,39.65,0.61
Apus melba,100,1.13
Aquila chrysaetos,4383,17.6
Aquila clanga,1916.8,11.8
Aquila heliaca,3262,15.5
Aquila pomarina,1475.4,11.3
Ardea cinerea,1433,7.935
Ardeola ralloides,288,2.4
Arenaria interpres,110.5,1.5
Aythya ferina,828,5.861
Aythya fuligula,701.5,4.475
Aythya marila,1013.5,5.425
Aythya nyroca,551.5,5.6
Bombycilla garrulus,50.5,1.112
Bonasa bonasia,36.5,1.881
Bonaurus stellaris,2461.5,6.1
Branta bernicla,1300,6.05
Branta leucopsis,1687,6.751
Bubulcus ibis,307.5,4.23
Bucanetes githagineus,18.15,0.666
Bucanetes mongolicus,21.9,0.67
Bucephala clangula,900,6.146
Bucephala islandica,910,5.77
Bulweria bulwerii,99,1.39
Burhinus oedicnemus,462,3.5
Buteo buteo,878.25,7.879
Buteo lagopus,925.8,8.85
Buteo rufinus,1174.5,9.5
Calcarius lapponicus,25.2,1
Calidris alba,57,1.04
Calidris alpina,43.05,0.855
Calidris canutus,137,1.3
Calidris ferruginea,60.3,1.02
Calidris maritima,71.95,1.09
Calidris minuta,25.55,0.6
Calonectris diomedea,571.8,5.1
Caprimulgus europaeus,78.25,0.732
Carduelis cannabina,18.95,0.654
Carduelis carduelis,15.45,0.563
Carduelis chloris,27.65,0.877
Carduelis flammea,13.05,0.549
Carduelis flavirostris,14.85,0.401
Carduelis spinus,13.8,0.522
Catharacta skua,1835,7.5
cepphus grylle,381,3.139
Certhia brachydactyla,8.4,0.53
Certhia familiaris,9.15,0.5
Charadrius alexandrinus,47.65,1.1
Charadrius dubius,38.75,0.778
Charadrius hiaticula,64.1,1.2
Chlamydotis undulata,1360,5.5
Chlidonias hybridus,88.2,1.53
Chlidonias leucopterus,80.1,1.4
Ciconia ciconia,3245.5,14.915
Ciconia nigra,3000,11.8
Cinclus cinclus,61.9,1.44
Circus aeruginosus,584.5,5.619
Circus cyaneus,436.5,4.6
Clamator glandarius,153.5,1.8
Clangula hyermalis,648.5,4.905
Coccothraustes coccothraustes,54.7,1.687
Columba livia,280.5,2.23
Columba oenas,291,2.266
Columba plaumbus,501,2.186
Coracias garrulus,147,2.2
Corvus corax,1200.55,15.368
Corvus corone,544.5,8.118
Corvus frugilegus,453.5,7.978
Corvus monedula,224.5,4.399
Corvus ruficollis,741.25,10.5
Coturnix coturnix,90,0.8
Crex crex,155.5,1.154
Cuculus canorus,111.5,1.438
Cuculus saturatus,99.9,1.64
Cursorius cursor,129.5,1.3
Cyanistes caeruleus,11.75,0.604
Cyanopica cyana,71,2.06
Cygnus columbianus,6750,17.35
Cygnus cygnus,9450,19.5
Delichon urbica,19.55,0.435
Dendrocopos major,89.65,2.581
Dendrocopos medius,59,1.79
Dendrocopos minor,21.5,1.2
Dryocopus martius,273.15,7.12
Egretta alba,873.5,5.5
Egretta garzetta,532.5,3.7
Emberiza aureola,21.15,0.71
Emberiza calandra,46.65,1.182
Emberiza cirlus,23.75,0.79
Emberiza citrinella,29.7,0.767
Emberiza hortulana,23.8,0.72
