plant,pop,watering,inoc,days_to_flower,flower_include,soil_moist_3_7,health_inoc_leaf_3_31,SLA_leaf_area,SLA_dry_leaf_weight,sla
1,arb97,wet,none,55,55,30.4,2,2.389,0.0058,411.8965517
2,arb97,wet,none,55,55,31.1,NA,NA,NA,NA
3,arb97,wet,none,NA,NA,NA,NA,NA,NA,NA
4,arb97,wet,none,46,46,23.9,NA,NA,NA,NA
5,arb97,wet,none,60,60,24.3,3,3.253,0.0087,373.908046
6,arb97,wet,none,41,41,23.9,NA,NA,NA,NA
7,arb97,wet,none,NA,NA,NA,NA,NA,NA,NA
8,arb97,wet,none,46,46,24.3,3,3.82,0.009,424.4444444
9,arb97,wet,none,38,38,15.6,NA,NA,NA,NA
10,arb97,wet,none,55,55,20.7,3,2.043,0.0053,385.4716981
11,arb97,wet,none,46,46,22.5,NA,NA,NA,NA
12,arb97,wet,none,41,41,30.4,3,4.583,0.0109,420.4587156
13,arb97,wet,none,121,NA,22.1,NA,NA,NA,NA
14,arb97,wet,none,43,43,16.7,2,3.947,0.0103,383.2038835
15,arb97,wet,none,68,68,17.4,NA,NA,NA,NA
16,arb97,wet,none,55,55,25.4,4,3.499,0.0087,402.183908
17,arb97,wet,none,49,49,24.6,NA,NA,NA,NA
18,arb97,wet,none,33,33,30.1,3,2.356,0.0049,480.8163265
19,arb97,wet,none,60,60,30.8,NA,NA,NA,NA
20,arb97,wet,none,55,55,28.9,4,1.512,0.0046,328.6956522
21,arb97,wet,none,46,46,30.4,NA,NA,NA,NA
22,arb97,wet,none,49,49,24.6,3,1.573,0.0048,327.7083333
23,arb97,wet,none,46,46,29,NA,NA,NA,NA
24,arb97,wet,none,62,62,31.1,3,3.094,0.0115,269.0434783
25,arb97,wet,none,46,46,30.4,NA,NA,NA,NA
26,arb97,wet,none,55,55,23.9,3,3.988,0.0151,264.1059603
27,arb97,wet,none,68,68,27.2,NA,NA,NA,NA
28,arb97,wet,none,49,49,34.8,NA,5.338,0.0121,441.1570248
29,arb97,wet,none,46,46,29.3,NA,NA,NA,NA
30,arb97,wet,none,49,49,27.9,3,1.926,0.0051,377.6470588
31,arb97,wet,none,49,49,40.2,2,2.848,0.007,406.8571429
32,arb97,wet,none,121,NA,35.1,2,4.253,0.0129,329.6899225
33,arb97,wet,none,41,41,33.7,NA,NA,NA,NA
34,arb97,wet,none,55,55,25,NA,3.719,0.0058,641.2068966
35,arb97,wet,none,60,60,33,NA,NA,NA,NA
36,arb97,wet,none,46,46,30.8,2,4.141,0.0085,487.1764706
37,arb97,wet,none,55,55,29.3,NA,NA,NA,NA
38,arb97,wet,none,55,55,23,2,NA,0.0171,NA
39,arb97,wet,none,68,68,17,NA,NA,NA,NA
40,arb97,wet,none,49,49,25,2,3.204,0.0094,340.8510638
41,arb97,wet,none,84,84,30.8,3,4.891,0.0142,344.4366197
42,arb97,wet,none,60,60,24.3,3,1.525,0.0067,227.6119403
43,arb97,wet,none,49,49,18.1,2,3.322,0.0079,420.5063291
44,arb97,wet,none,55,55,25.7,2,3.387,0.0085,398.4705882
45,arb97,wet,none,60,60,30.1,3,2.282,0.0098,232.8571429
46,arb97,wet,none,49,49,34.8,4,2.341,0.0049,477.755102
47,arb97,wet,none,46,46,27.9,3,2.82,0.0077,366.2337662
48,arb97,wet,none,41,41,26.4,2,2.923,0.0065,449.6923077
49,arb97,wet,none,55,55,29.7,2,2.785,0.0065,428.4615385
50,arb97,wet,none,49,49,22.1,2,2.532,0.0062,408.3870968
51,arb97,wet,none,68,68,22.5,3,8.168,0.0224,364.6428571
52,arb97,wet,none,49,49,22.5,2,2.226,0.0048,463.75
53,arb97,wet,none,55,55,24.3,3,1.761,0.0047,374.6808511
54,arb97,wet,none,41,41,25,3,2.396,0.0053,452.0754717
55,arb97,wet,none,49,49,23.6,2,2.505,0.0053,472.6415094
56,arb97,wet,none,41,41,26.1,NA,NA,NA,NA
57,arb97,wet,none,76,76,30.8,3,4.405,0.0112,393.3035714
58,arb97,wet,none,NA,NA,NA,NA,NA,NA,NA
59,arb97,wet,none,55,55,31.1,NA,NA,NA,NA
60,arb97,wet,none,46,46,33,NA,NA,NA,NA
61,arb97,wet,none,NA,NA,NA,NA,NA,NA,NA
62,arb97,wet,none,68,68,30.4,NA,NA,NA,NA
63,arb97,wet,none,NA,NA,34,NA,NA,NA,NA
64,arb97,wet,none,49,49,30.8,NA,NA,NA,NA
65,arb97,wet,none,55,55,33.7,NA,NA,NA,NA
66,arb97,wet,none,NA,NA,NA,NA,NA,NA,NA
67,arb97,wet,none,38,38,20.3,NA,NA,NA,NA
68,arb97,wet,none,46,46,27.2,NA,NA,NA,NA
69,arb97,wet,none,66,66,27.5,NA,NA,NA,NA
70,arb97,wet,none,121,NA,31.9,NA,NA,NA,NA
71,arb97,wet,none,46,46,24.6,NA,NA,NA,NA
72,arb97,wet,none,49,49,40.5,NA,NA,NA,NA
73,arb97,dry,none,60,60,23.6,NA,7.086,0.0239,296.4853556
74,arb97,dry,none,46,46,19.9,NA,NA,NA,NA
75,arb97,dry,none,66,66,21.4,NA,5.824,0.0179,325.3631285
76,arb97,dry,none,68,68,24.3,NA,NA,NA,NA
77,arb97,dry,none,60,60,28.6,NA,2.795,0.0051,548.0392157
78,arb97,dry,none,46,46,22.8,NA,NA,NA,NA
79,arb97,dry,none,49,49,24.3,NA,4.643,0.0104,446.4423077
80,arb97,dry,none,46,46,18.9,NA,NA,NA,NA
81,arb97,dry,none,62,62,16.7,NA,2.294,0.0081,283.2098765
82,arb97,dry,none,121,NA,21.4,NA,NA,NA,NA
83,arb97,dry,none,41,41,24.3,NA,2.857,0.0054,529.0740741
84,arb97,dry,none,121,NA,22.8,NA,NA,NA,NA
85,arb97,dry,none,46,46,22.1,NA,1.758,0.0037,475.1351351
86,arb97,dry,none,55,55,21.7,NA,NA,NA,NA
87,arb97,dry,none,49,49,23.8,3,3.474,0.007,496.2857143
88,arb97,dry,none,41,41,16.7,NA,NA,NA,NA
89,arb97,dry,none,60,60,17.4,NA,NA,NA,NA
90,arb97,dry,none,38,38,17,3,2.97,0.005,594
91,arb97,dry,none,46,46,24.3,2,3.179,0.0079,402.4050633
92,arb97,dry,none,55,55,21,2,NA,NA,NA
93,arb97,dry,none,35,35,22.5,3,6.425,0.0128,501.953125
94,arb97,dry,none,55,55,19.6,3,NA,NA,NA
95,arb97,dry,none,41,41,22.8,8,3.931,0.0051,770.7843137
96,arb97,dry,none,NA,NA,NA,NA,NA,NA,NA
97,arb97,dry,none,NA,NA,NA,NA,NA,NA,NA
98,arb97,dry,none,46,46,16.9,3,3.722,0.0078,477.1794872
99,arb97,dry,none,121,NA,20.7,3,NA,NA,NA
100,arb97,dry,none,46,46,21,2,3.425,0.0082,417.6829268
101,arb97,dry,none,62,62,26.4,3,NA,NA,NA
102,arb97,dry,none,49,49,20.3,7,4.394,0.0111,395.8558559
103,arb97,dry,none,55,55,23.9,2,NA,NA,NA
104,arb97,dry,none,43,43,19.2,2,NA,NA,NA
105,arb97,dry,none,46,46,23.6,2,3.615,0.0099,365.1515152
106,arb97,dry,none,46,46,13.2,2,2.791,0.0064,436.09375
107,arb97,dry,none,NA,NA,NA,NA,NA,NA,NA
108,arb97,dry,none,34,34,26.4,3,NA,NA,NA
109,arb97,dry,none,121,NA,21,3,NA,NA,NA
110,arb97,dry,none,60,60,22.1,NA,10.292,0.0332,310
111,arb97,dry,none,77,77,23.2,4,NA,NA,NA
112,arb97,dry,none,46,46,23.9,NA,1.85,0.0046,402.173913
113,arb97,dry,none,55,55,24.3,4,NA,NA,NA
114,arb97,dry,none,68,68,25.4,NA,2.619,0.0065,402.9230769
115,arb97,dry,none,43,43,21.7,3,NA,NA,NA
116,arb97,dry,none,46,46,21.4,NA,1.921,0.0046,417.6086957
117,arb97,dry,none,41,41,22.8,9,NA,NA,NA
118,arb97,dry,none,46,46,25.7,NA,3.911,0.0115,340.0869565
119,arb97,dry,none,46,46,26.4,9,NA,NA,NA
120,arb97,dry,none,62,62,28.3,NA,2.874,0.0092,312.3913043
121,arb97,dry,none,43,43,21.7,9,NA,NA,NA
122,arb97,dry,none,46,46,20.3,NA,2.737,0.0056,488.75
123,arb97,dry,none,43,43,29.7,9,NA,NA,NA
124,arb97,dry,none,121,NA,24.3,NA,3.154,0.013,242.6153846
125,arb97,dry,none,41,41,23.6,3,NA,NA,NA
126,arb97,dry,none,38,38,22.5,NA,2.611,0.0036,725.2777778
127,arb97,dry,none,55,55,19.6,3,NA,NA,NA
128,arb97,dry,none,46,46,22.5,NA,2.345,0.0049,478.5714286
129,arb97,dry,none,60,60,26.8,3,NA,NA,NA
130,arb97,dry,none,46,46,27.5,NA,2.14,0.0037,578.3783784
131,arb97,dry,none,55,55,27.9,3,NA,NA,NA
132,arb97,dry,none,55,55,26.1,NA,3.69,0.0123,300
133,arb97,dry,none,41,41,20.3,3,NA,NA,NA
134,arb97,dry,none,60,60,23.9,NA,2.771,0.006,461.8333333
135,arb97,dry,none,55,55,22.1,3,NA,NA,NA
136,arb97,dry,none,55,55,24.6,NA,4.017,0.0098,409.8979592
137,arb97,dry,none,68,68,25,3,NA,NA,NA
