Species Name,Wing Length,Tail Length
Agriornis albicauda,141.3,113.1
Agriornis lividus,127.7,105.4
Agriornis micropterus,118.9,99.6
Agriornis montanus,131.3,98.2
Agriornis murinus,97,74.2
Alectrurus risora,73,156.2
Alectrurus tricolor,67.6,51.2
Anairetes alpinus,63.5,63
Anairetes fernandezianus,55.9,56.2
Anairetes flavirostris,48,51.8
Anairetes nigrocristatus,57.8,61.5
Anairetes parulus,49.1,51
Anairetes reguloides,52.4,48
Aphanotriccus audax,54.6,45.8
Aphanotriccus capitalis,58.7,50.6
Arundinicola leucocephala,60.1,46.9
Atalotriccus pilaris,41.2,33.4
Attila bolivianus,94.6,78.2
Attila cinnamomeus,87.2,81.2
Attila citriniventris,78.2,62.7
Attila phoenicurus,92.2,76.2
Attila rufus,92,73.5
Attila spadiceus,85.6,67.8
Attila torridus,93.5,76.8
Calyptura cristata,47.9,23.2
Camptostoma imberbe,49.4,39.7
Camptostoma obsoletum,52.3,40.9
Capsiempis flaveola,49,48.5
Casiornis fuscus,75.6,72.8
Casiornis rufus,84.9,81.8
Cnemarchus erythropygius,142.7,102.5
Cnemotriccus fuscatus,66.7,62.6
Cnipodectes subbrunneus,85.4,75.2
Cnipodectes superrufus,116.7,112
Colonia colonus,80.8,159.7
Colorhamphus parvirostris,61.3,53.2
Conopias albovittatus,81.7,65.8
Conopias cinchoneti,83.4,66.9
Conopias parvus,81.1,65
Conopias trivirgatus,65,51.2
Contopus albogularis,61.2,55.6
Contopus bogotensis,70.8,58.8
Contopus caribaeus,72.5,59.3
Contopus cinereus,70.3,61.6
Contopus cooperi,104.7,68.8
Contopus fumigatus,92.6,80
Contopus hispaniolensis,74.4,65.3
Contopus latirostris,69.1,59.2
Contopus lugubris,91.6,73
Contopus nigrescens,66.8,62.8
Contopus ochraceus,90,71
Contopus pallidus,69.8,63.5
Contopus pertinax,108.3,83
Contopus punensis,68.9,62.4
Contopus sordidulus,82.6,60.2
Contopus virens,81,62.7
Corythopis delalandi,64.4,49.4
Corythopis torquatus,66.3,52.7
Culicivora caudacuta,41.1,49.7
Deltarhynchus flammulatus,75.5,77.7
Elaenia albiceps,74.5,70.4
Elaenia brachyptera,72,63
Elaenia cherriei,67.1,64.2
Elaenia chiriquensis,72.4,62
Elaenia cristata,66.2,56.5
Elaenia dayi,97.2,97.8
Elaenia fallax,67.9,65.2
Elaenia flavogaster,77.4,70.6
Elaenia frantzii,74.6,65.4
Elaenia gigas,89.5,74.1
Elaenia martinica,78,74
Elaenia mesoleuca,80,66.4
Elaenia obscura,84.7,84.5
Elaenia olivina,73.8,68.6
Elaenia pallatangae,73.8,68.6
Elaenia parvirostris,69.4,64.9
Elaenia pelzelni,88.3,74.6
Elaenia ridleyana,83.6,75
Elaenia ruficeps,66,55
Elaenia sordida,86.7,78
Elaenia spectabilis,81.7,72.3
Elaenia strepera,78.6,63.7
