trial,group_size,focalG,date,day1.focal.lunge,day2.focal.lunge,day2.focal.lunge,day2.at.focal.lunge,day2.time
30,0,208x712,28-Nov,0,0,0,0,NA
360,0,208x712,8-May,0,0,0,1,180
371,0,208x712,11-May,0,0,0,0,0
45,0,208x712,1-Dec,0,0,0,0,NA
95,0,208x712,23-Jan,0,0,0,1,166
223,0,208x712,9-Mar,0,0,0,2,13
456,0,208x712,5-Jun,0,0,0,2,180
458,0,208x712,5-Jun,0,0,0,0,0
26,2,208x712,28-Nov,0,0,0,0,NA
354,2,208x712,1-May,0,0,0,0,0
444,2,208x712,1-Jun,0,0,0,0,0
423,2,208x712,22-May,0,0,0,0,180
139,4,208x712,1-Feb,0,0,0,0,0
407,4,208x712,18-May,0,0,0,0,180
6,4,208x712,7-Nov,0,0,0,1,NA
35,4,208x712,1-Dec,0,0,0,0,NA
71,4,208x712,15-Dec,0,0,0,4,15
542,4,208x712,6-Jul,0,0,0,0,135
283,8,208x712,3-Apr,0,0,0,0,180
388,8,208x712,15-May,0,0,0,0,0
127,8,208x712,1-Feb,0,0,0,0,7
295,8,208x712,6-Apr,0,0,0,0,294
429,8,208x712,25-May,2,0,0,0,0
483,8,208x712,8-Jun,0,0,0,1,79
532,8,208x712,29-Jun,1,0,0,2,40
119,0,304x862,30-Jan,0,0,0,0,0
251,0,304x862,16-Mar,0,0,0,0,0
384,0,304x862,15-May,0,0,0,0,0
195,0,304x862,27-Feb,0,0,0,0,0
448,0,304x862,1-Jun,0,0,0,5,184
472,0,304x862,5-Jun,0,0,0,0,0
482,2,304x862,8-Jun,0,0,0,0,0
156,2,304x862,13-Feb,0,0,0,3,180
396,2,304x862,18-May,0,0,0,0,0
426,2,304x862,22-May,0,0,0,0,227
88,4,304x862,23-Jan,0,0,0,1,39
252,4,304x862,16-Mar,0,0,0,0,0
260,4,304x862,20-Mar,0,0,0,1,0
434,4,304x862,25-May,0,0,0,0,0
518,4,304x862,26-Jun,0,0,0,0,0
184,8,304x862,20-Feb,0,0,0,0,0
311,8,304x862,6-Apr,0,0,0,0,0
548,8,304x862,10-Jul,0,0,0,0,0
102,8,304x862,26-Jan,0,0,0,0,0
437,8,304x862,29-May,0,0,0,0,0
230,0,306x391,13-Mar,0,0,0,0,0
352,0,306x391,1-May,0,0,0,0,0
473,0,306x391,5-Jun,0,0,0,2,6
121,0,306x391,30-Jan,0,0,0,0,6
237,0,306x391,13-Mar,0,0,0,0,0
247,0,306x391,16-Mar,0,0,0,1,65
296,0,306x391,6-Apr,0,0,0,1,111
380,0,306x391,11-May,0,0,0,1,213
214,2,306x391,9-Mar,0,0,0,0,0
259,2,306x391,20-Mar,0,0,0,0,0
408,2,306x391,18-May,0,0,0,0,60
549,2,306x391,10-Jul,0,0,0,1,23
264,4,306x391,20-Mar,1,0,0,5,180
272,4,306x391,23-Mar,0,0,0,0,0
531,4,306x391,29-Jun,0,0,0,0,0
309,4,306x391,6-Apr,0,0,0,0,0
509,4,306x391,22-Jun,0,0,0,0,0
126,8,306x391,1-Feb,0,0,0,0,23
281,8,306x391,3-Apr,0,0,0,0,25
318,8,306x391,10-Apr,2,0,0,13,90
504,8,306x391,20-Jun,0,0,0,0,0
116,0,315x365,30-Jan,0,0,0,0,180
96,0,315x365,23-Jan,0,0,0,1,18
135,0,315x365,1-Feb,0,0,0,0,158
219,0,315x365,9-Mar,0,0,0,3,164
298,0,315x365,6-Apr,0,0,0,0,0
358,0,315x365,8-May,0,0,0,0,51
440,0,315x365,29-May,0,0,0,2,99
104,2,315x365,26-Jan,0,0,0,0,0
183,2,315x365,20-Feb,0,0,0,0,0
279,2,315x365,23-Mar,0,0,0,0,0
469,2,315x365,5-Jun,1,0,0,0,9
288,4,315x365,3-Apr,1,0,0,0,180
451,4,315x365,1-Jun,0,0,0,7,360
527,4,315x365,27-Jun,5,0,0,5,211
124,8,315x365,1-Feb,0,0,0,0,0
353,8,315x365,1-May,1,0,0,0,4
512,8,315x365,22-Jun,0,0,0,0,0
242,8,315x365,16-Mar,0,0,0,0,48
282,8,315x365,3-Apr,0,0,0,2,360
320,8,315x365,10-Apr,2,0,0,0,0
363,8,315x365,8-May,0,0,0,0,0
379,8,315x365,11-May,2,0,0,0,180
543,8,315x365,6-Jul,3,0,0,1,360
157,0,357x714,13-Feb,0,0,0,0,0
198,0,357x714,27-Feb,0,0,0,0,180
257,0,357x714,20-Mar,0,0,0,0,0
118,0,357x714,30-Jan,0,0,0,2,258
263,0,357x714,20-Mar,0,0,0,0,0
403,0,357x714,18-May,0,0,0,0,0
419,0,357x714,22-May,0,0,0,0,0
475,0,357x714,5-Jun,0,0,0,0,360
291,2,357x714,3-Apr,0,0,0,0,122
432,2,357x714,25-May,0,0,0,0,0
249,2,357x714,16-Mar,1,0,0,0,0
397,2,357x714,18-May,0,0,0,0,360
442,2,357x714,29-May,0,0,0,1,7
229,4,357x714,13-Mar,0,0,0,0,180
266,4,357x714,20-Mar,4,0,0,0,10
337,4,357x714,24-Apr,9,0,0,0,0
344,4,357x714,27-Apr,0,0,0,0,0
244,4,357x714,16-Mar,4,0,0,4,23
369,4,357x714,11-May,0,0,0,0,0
520,8,357x714,26-Jun,1,0,0,0,0
545,8,357x714,10-Jul,0,0,0,0,180
20,0,360x335,17-Nov,0,0,0,3,NA
31,0,360x335,28-Nov,0,0,0,0,NA
60,0,360x335,5-Dec,0,0,0,0,0
117,0,360x335,30-Jan,0,0,0,0,0
44,0,360x335,1-Dec,0,0,0,0,NA
66,0,360x335,12-Dec,0,0,0,0,360
74,0,360x335,15-Dec,0,0,0,0,0
146,2,360x335,9-Feb,0,0,0,0,0
393,2,360x335,15-May,0,0,0,0,180
519,2,360x335,26-Jun,0,0,0,2,117
4,4,360x335,7-Nov,2,0,0,0,NA
11,8,360x335,17-Nov,0,0,0,0,NA
51,8,360x335,5-Dec,0,0,0,0,0
297,8,360x335,6-Apr,0,0,0,0,0
534,8,360x335,29-Jun,0,0,0,0,73
99,0,375x427,23-Jan,0,0,0,0,0
217,0,375x427,9-Mar,0,0,0,0,0
228,0,375x427,13-Mar,0,0,0,0,0
274,0,375x427,23-Mar,0,0,0,0,0
321,0,375x427,10-Apr,0,0,0,1,0
387,0,375x427,15-May,0,0,0,0,3
399,0,375x427,18-May,0,0,0,0,0
421,0,375x427,22-May,0,0,0,0,253
193,2,375x427,27-Feb,0,0,0,0,0
314,2,375x427,6-Apr,1,0,0,0,0
338,2,375x427,24-Apr,0,0,0,0,180
232,2,375x427,13-Mar,0,0,0,0,39
350,2,375x427,27-Apr,0,0,0,0,0
377,2,375x427,11-May,0,0,0,0,67
497,2,375x427,15-Jun,9,0,0,0,0
248,4,375x427,16-Mar,1,0,0,0,0
370,4,375x427,11-May,1,0,0,0,0
201,4,375x427,27-Feb,0,0,0,0,0
345,4,375x427,27-Apr,17,0,0,0,0
516,4,375x427,22-Jun,0,0,0,0,0
187,8,375x427,20-Feb,5,0,0,0,0
225,0,437x324,13-Mar,0,0,0,0,0
90,0,437x324,23-Jan,0,0,0,2,121
109,0,437x324,26-Jan,0,0,0,0,0
123,0,437x324,30-Jan,0,0,0,0,219
270,0,437x324,23-Mar,0,0,0,1,28
302,0,437x324,6-Apr,0,0,0,0,6
478,0,437x324,5-Jun,0,0,0,1,3
190,2,437x324,20-Feb,0,0,0,0,180
336,2,437x324,24-Apr,0,0,0,0,0
202,2,437x324,27-Feb,0,0,0,4,50
312,2,437x324,6-Apr,4,0,0,0,0
368,2,437x324,8-May,0,0,0,4,211
521,2,437x324,26-Jun,0,0,0,3,130
143,4,437x324,1-Feb,2,0,0,0,180
454,4,437x324,5-Jun,0,0,0,0,180
485,8,437x324,12-Jun,0,0,0,0,0
383,8,437x324,11-May,0,0,0,0,180
503,8,437x324,20-Jun,1,0,0,0,180
197,0,486x380,27-Feb,0,0,0,0,0
243,0,486x380,16-Mar,0,0,0,0,0
255,0,486x380,20-Mar,0,0,0,1,0
428,0,486x380,25-May,0,0,0,0,0
101,0,486x380,23-Jan,0,0,0,0,0
479,0,486x380,8-Jun,0,0,0,2,28
235,2,486x380,13-Mar,0,0,0,0,0
276,2,486x380,23-Mar,5,0,0,0,0
204,2,486x380,27-Feb,0,0,0,0,0
366,2,486x380,8-May,0,0,0,0,0
415,2,486x380,22-May,7,0,0,2,9
467,2,486x380,5-Jun,2,0,0,0,0
300,4,486x380,6-Apr,0,0,0,0,0
443,4,486x380,1-Jun,4,0,0,0,0
349,4,486x380,27-Apr,3,0,0,0,0
256,8,486x380,20-Mar,7,0,0,1,0
359,8,486x380,8-May,1,0,0,0,0
142,8,486x380,1-Feb,0,0,0,0,0
324,8,486x380,10-Apr,0,0,0,0,0
